Code,Value
AUD,1.4925602163
BGN,1.7863703387
BRL,4.9413107961
CAD,1.3378002125
CHF,0.8704701554
CNY,7.1291108703
CZK,22.417894335
DKK,6.8406213426
EUR,0.9176601259
GBP,0.7891801026
HKD,7.8008015535
HRK,7.0203907261
HUF,350.422257273
IDR,15503.893302641
ILS,3.6704906888
INR,83.1171119302
ISK,137.7448599392
JPY,142.3000000753
KRW,1299.6356086968
MXN,17.2134931101
MYR,4.6767704995
NOK,10.4546511439
NZD,1.6102502714
PHP,55.8241455953
PLN,3.9749804856
RON,4.5600507412
RUB,90.5945855488
SEK,10.2972814552
SGD,1.3331701882
THB,34.9601550213
TRY,28.8793744473
USD,1
ZAR,18.3197632949
